Rank,County,Population
1,Los Angeles County,"10,040,682"
2,San Diego County,"3,323,970"
3,Orange County,"3,170,345"
4,Riverside County,"2,437,864"
5,San Bernardino County,"2,162,532"
6,Santa Clara County,"1,924,379"
7,Alameda County,"1,661,584"
8,Sacramento County,"1,537,948"
9,Contra Costa County,"1,147,788"
10,Fresno County,"990,204"
11,Kern County,"892,458"
12,San Francisco County,"874,784"
13,Ventura County,"845,599"
14,San Mateo County,"765,623"
15,San Joaquin County,"751,615"
16,Stanislaus County,"546,235"
17,Sonoma County,"496,801"
18,Tulare County,"463,955"
19,Santa Barbara County,"444,895"
20,Solano County,"444,538"
21,Monterey County,"432,977"
22,Placer County,"391,799"
23,San Luis Obispo County,"282,517"
24,Merced County,"273,661"
25,Santa Cruz County,"273,170"
26,Marin County,"259,441"
27,Butte County,"223,344"
28,Yolo County,"218,774"
29,El Dorado County,"190,345"
30,Imperial County,"180,580"
31,Shasta County,"179,267"
32,Madera County,"155,925"
33,Kings County,"151,090"
34,Napa County,"138,572"
35,Humboldt County,"136,101"
36,Nevada County,"99,417"
37,Sutter County,"96,315"
38,Mendocino County,"87,110"
39,Yuba County,"77,524"
40,Lake County,"64,276"
41,Tehama County,"64,176"
42,San Benito County,"61,547"
43,Tuolumne County,"54,147"
44,Calaveras County,"45,828"
45,Siskiyou County,"43,516"
46,Amador County,"39,023"
47,Lassen County,"30,600"
48,Glenn County,"28,060"
49,Del Norte County,"27,692"
50,Colusa County,"21,491"
51,Plumas County,"18,844"
52,Inyo County,"17,930"
53,Mariposa County,"17,319"
54,Mono County,"14,395"
55,Trinity County,"12,541"
56,Modoc County,"8,853"
57,Sierra County,"2,898"
58,Alpine County,"1,159"